"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","blind","debug","eval_type","feedback","lr","seed","euc_final_goal","euc_oracle_goal","iteration","test_euc_final_goal","test_euc_oracle_goal","test_loss","test_top_final_goal","test_top_oracle_goal","top_final_goal","top_oracle_goal","train loss","train_loss","val_seen euc_final_goal","val_seen euc_oracle_goal","val_seen loss","val_seen top_final_goal","val_seen top_oracle_goal","val_seen_euc_final_goal","val_seen_euc_oracle_goal","val_seen_loss","val_seen_top_final_goal","val_seen_top_oracle_goal"
"test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","crashed","-","shurjo","","2020-08-11T17:48:15.000Z","271694","","vision","false","test","sample","0.001","1.75","","","9575","1.069699456349005","0.8295859598202664","0.9633291244506836","4.017808948741968","3.8021963291471943","","","","0.8132664114634196","","","","","","","","","",""
"test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","crashed","-","shurjo","","2020-08-11T17:48:15.000Z","344051","","language","false","test","sample","0.001","1.75","","","13187.5","1.026682521853352","0.6625397018359258","0.8795315742492675","3.437487733512287","2.882981469745703","","","","0.4603713092803955","","","","","","","","","",""
"test-seq2seq-120-sample","test-seq2seq-120-sample","test-seq2seq-120-sample","crashed","-","shurjo","","2020-08-11T17:48:15.000Z","265287","","","false","test","sample","0.001","1.75","","","9625","1.0235480556001824","0.6202832380618402","0.965785296758016","3.468244768158125","2.8516284427443903","","","","0.40382079362869266","","","","","","","","","",""
"test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-11T17:48:16.000Z","140823","","vision","false","test","teacher","0.0001","1.75","","","5000","1.1060421532165545","0.885487092026535","0.30472140312194823","3.9816213585727827","3.8748467620752343","","","","0.3296844927469889","","","","","","","","","",""
"val-seq2seq-120-teacher","val-seq2seq-120-teacher","val-seq2seq-120-teacher","crashed","-","shurjo","","2020-08-11T17:48:18.000Z","146423","","","false","val","teacher","0.0001","2.4","","","4890","","","","","","","","","0.1539769985198975","","","","","","1.065572537125938","0.6852510318756947","0.3041269048055013","3.343940575909179","2.711960977476196"
"test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-11T17:48:17.000Z","143185","","language","false","test","teacher","0.0001","1.75","","","5000","1.014181469699302","0.6456629448913247","0.3177687009175618","3.5369847327314696","2.9159048595207375","","","","0.1694532466729482","","","","","","","","","",""
"test-seq2seq-120-teacher","test-seq2seq-120-teacher","test-seq2seq-120-teacher","finished","-","shurjo","","2020-08-11T17:48:17.000Z","137731","","","false","test","teacher","0.0001","1.75","","","5000","0.9858531544184009","0.6528306130928341","0.32132653395334876","3.5137422265258422","2.964463235486531","","","","0.16327111260096233","","","","","","","","","",""
"val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","crashed","-","shurjo","","2020-08-11T17:48:17.000Z","344048","","vision","false","val","sample","0.001","1.75","","","16837.5","","","","","","","","","0.7663076817194621","","","","","","1.144759634465283","0.8778748442401667","1.0074256420135497","3.8958436325697137","3.648139834810549"
"val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","crashed","-","shurjo","","2020-08-11T17:48:17.000Z","323456","","language","false","val","sample","0.001","1.75","","","17312.5","","","","","","","","","0.365344970703125","","","","","","0.9954223462086379","0.6686875286239264","0.8570070425669353","2.9931283052485034","2.539594712894538"
"val-seq2seq-120-sample","val-seq2seq-120-sample","val-seq2seq-120-sample","crashed","-","shurjo","","2020-08-11T17:48:18.000Z","281096","","","false","val","sample","0.001","1.75","","","11575","","","","","","","","","0.31811192107200625","","","","","","1.0837864833725526","0.7140782389451918","0.892985200881958","3.1766417454960933","2.675664356631523"
"val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-11T17:48:18.000Z","134319","","vision","false","val","teacher","0.0001","1.75","","","5000","","","","","","","","","0.3240996467272441","","","","","","1.1188226574355942","0.916024049844341","0.26865984201431276","3.955180936491808","3.8183206727935453"
"val-seq2seq-120-teacher-blind=language","val-seq2seq-120-teacher-blind=language","val-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-11T17:48:18.000Z","129995","","language","false","val","teacher","0.0001","1.75","","","5000","","","","","","","","","0.15767417224248248","","","","","","1.0697732242170321","0.6806090855532037","0.29194900194803874","3.408075391148882","2.709300304957847"
