"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","LEARNING_RATE","MAX_EPISODE_LEN","PLOT_DIR","RESULT_DIR","SNAPSHOT_DIR","TRAINVAL_VOCAB","TRAIN_VOCAB","action_embedding_size","agent_type","batch_size","bidirectional","blind","debug","dirs","dropout_ratio","eval_type","feature_size","feedback","feedback_method","fold","hidden_size","history","lr","max_input_length","model_prefix","n_iters","padding_idx","par_folder","seed","target_embedding_size","weight_decay","word_embedding_size","iteration","test_euc_final_goal","test_euc_oracle_goal","test_loss","test_top_final_goal","test_top_oracle_goal","train_loss","val_seen_euc_final_goal","val_seen_euc_oracle_goal","val_seen_loss","val_seen_top_final_goal","val_seen_top_oracle_goal"
"test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","test-seq2seq-120-sample-blind=vision","finished","-","shurjo","","2020-08-21T02:41:47.000Z","264337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.049374785678204","3.9917790228969974","","","","","",""
"test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","test-seq2seq-120-sample-blind=language","finished","-","shurjo","","2020-08-21T02:41:19.000Z","254133","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4608975896689365","2.9132670419140134","","","","","",""
"test-seq2seq-120-sample","test-seq2seq-120-sample","test-seq2seq-120-sample","finished","-","shurjo","","2020-08-21T02:40:04.000Z","312686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.395100637452296","2.858717892426492","","","","","",""
"test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","test-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-21T02:20:30.000Z","116274","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9920642124415284","3.885549192222101","","","","","",""
"test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","test-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-21T02:17:00.000Z","123520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.67125108125723","3.2291396860585486","","","","","",""
"test-seq2seq-120-teacher","test-seq2seq-120-teacher","test-seq2seq-120-teacher","finished","-","shurjo","","2020-08-20T22:10:37.000Z","139491","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6708225316928744","3.169270430757057","","","","","",""
"val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","val-seq2seq-120-sample-blind=vision","finished","-","shurjo","","2020-08-20T22:10:36.000Z","338799","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9577527899090867","3.8972591030895596"
"val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","val-seq2seq-120-sample-blind=language","finished","-","shurjo","","2020-08-20T22:10:36.000Z","329140","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1945180303064666","2.6947869476959823"
"val-seq2seq-120-sample","val-seq2seq-120-sample","val-seq2seq-120-sample","finished","-","shurjo","","2020-08-20T22:10:36.000Z","329065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.14659773083959","2.644559497773828"
"val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","val-seq2seq-120-teacher-blind=vision","finished","-","shurjo","","2020-08-20T22:10:36.000Z","112280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9472396984700584","3.811384568335464"
"val-seq2seq-120-teacher-blind=language","val-seq2seq-120-teacher-blind=language","val-seq2seq-120-teacher-blind=language","finished","-","shurjo","","2020-08-20T22:10:37.000Z","103623","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6257097056884486","3.0055962467739703"
"val-seq2seq-120-teacher","val-seq2seq-120-teacher","val-seq2seq-120-teacher","finished","-","shurjo","","2020-08-20T22:10:36.000Z","86899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.595385720234418","3.049165624744058"
